name-pr,version,name,loc,bug
hadoop,0.92RC0,org.apache.hadoop.hbase.master.TimeOutManagerCallable,0,no
hadoop,0.92RC0,org.apache.hadoop.hbase.zookeeper.ZKAssign,280,no
hadoop,0.92RC0,org.apache.hadoop.hbase.mapreduce.TableMapReduceUtil,166,no
hadoop,0.92RC0,org.apache.hadoop.hbase.regionserver.HRegionServer,2042,no
hadoop,0.92RC0,org.apache.hadoop.hbase.coprocessor.TestMasterObserver,220,no
hadoop,0.92RC0,org.apache.hadoop.hbase.client.HTableInterface,32,no
hadoop,0.92RC0,org.apache.hadoop.hbase.client.TestAdmin,716,no
hadoop,0.92RC0,org.apache.hadoop.hbase.thrift.generated.TScan,481,no
hadoop,0.92RC0,org.apache.hadoop.hbase.util.TestCompressionTest,0,no
hadoop,0.92RC0,org.apache.hadoop.hbase.ipc.WritableRpcEngine,170,no
hadoop,0.92RC0,org.apache.hadoop.hbase.coprocessor.TestRegionObserverInterface,25,no
hadoop,0.92RC0,org.apache.hadoop.hbase.util.JenkinsHash,39,no
hadoop,0.92RC0,org.apache.hadoop.hbase.master.AssignmentManager,1605,no
hadoop,0.92RC0,org.apache.hadoop.hbase.client.TestAdmin,721,no
hadoop,0.92RC0,org.apache.hadoop.hbase.master.TestMasterStatusServlet,0,no
hadoop,0.92RC0,org.apache.hadoop.hbase.regionserver.StoreFile,669,no
hadoop,0.92RC0,org.apache.hadoop.hbase.io.hfile.slab.TestSlabCache,0,no
hadoop,0.92RC0,org.apache.hadoop.hbase.io.hfile.slab.TestSlabCache,0,yes
hadoop,0.92RC0,org.apache.hadoop.hbase.rest.TestSchemaResource,0,no
hadoop,0.92RC0,org.apache.hadoop.hbase.master.AssignmentManager,1537,yes
hadoop,0.92RC0,org.apache.hadoop.hbase.regionserver.RegionCoprocessorHost,504,no
hadoop,0.92RC0,org.apache.hadoop.hbase.ipc.HBaseRPC,97,no
hadoop,0.92RC0,org.apache.hadoop.hbase.util.PoolMap,84,no
hadoop,0.92RC0,org.apache.hadoop.hbase.io.hfile.slab.SlabCache,127,yes
hadoop,0.92RC0,org.apache.hadoop.hbase.io.hfile.CacheTestUtils,0,no
hadoop,0.92RC0,org.apache.hadoop.hbase.HRegionInfo,322,no
hadoop,0.92RC0,org.apache.hadoop.hbase.master.handler.OpenedRegionHandler,0,yes
hadoop,0.92RC0,org.apache.hadoop.hbase.master.handler.OpenedRegionHandler,0,yes
hadoop,0.92RC0,org.apache.hadoop.hbase.master.handler.ServerShutdownHandler,107,no
hadoop,0.92RC0,org.apache.hadoop.hbase.master.handler.ServerShutdownHandler,111,yes
hadoop,0.92RC0,org.apache.hadoop.hbase.master.handler.OpenedRegionHandler,0,yes
hadoop,0.92RC0,org.apache.hadoop.hbase.regionserver.wal.HLogSplitter,727,no
hadoop,0.92RC0,org.apache.hadoop.hbase.master.handler.ServerShutdownHandler,107,no
hadoop,0.92RC0,org.apache.hadoop.hbase.util.VersionInfo,0,yes
hadoop,0.92RC0,org.apache.hadoop.hbase.executor.TestExecutorService,0,no
hadoop,0.92RC0,org.apache.hadoop.hbase.master.AssignmentManager,1520,no
hadoop,0.92RC0,org.apache.hadoop.hbase.regionserver.wal.HLogSplitter,726,no
hadoop,0.92RC0,org.apache.hadoop.hbase.io.hfile.slab.Slab,0,no
hadoop,0.92RC0,org.apache.hadoop.hbase.master.AssignmentManager,1512,no
hadoop,0.92RC0,org.apache.hadoop.hbase.io.hfile.slab.Slab,0,no
hadoop,0.92RC0,org.apache.hadoop.hbase.util.TestMergeTool,41,no
hadoop,0.92RC0,org.apache.hadoop.hbase.HServerLoad,220,yes
hadoop,0.92RC0,org.apache.hadoop.hbase.regionserver.wal.TestLogRolling,226,yes
hadoop,0.92RC0,org.apache.hadoop.hbase.regionserver.Store,989,no
hadoop,0.92RC0,org.apache.hadoop.hbase.regionserver.TestCompaction,170,no
hadoop,0.92RC0,org.apache.hadoop.hbase.client.TestAdmin,704,no
hadoop,0.92RC0,org.apache.hadoop.hbase.regionserver.wal.TestLogRolling,225,yes
hadoop,0.92RC0,org.apache.hadoop.hbase.client.TestAdmin,693,no
hadoop,0.92RC0,org.apache.hadoop.hbase.regionserver.TestStoreFile,454,no
hadoop,0.92RC0,org.apache.hadoop.hbase.regionserver.metrics.RegionServerMetrics,143,no
hadoop,0.92RC0,org.apache.hadoop.hbase.client.TestAdmin,554,no
hadoop,0.92RC0,org.apache.hadoop.hbase.regionserver.TestStore,307,no
hadoop,0.92RC0,org.apache.hadoop.hbase.client.TestScannerTimeout,0,yes
hadoop,0.92RC0,org.apache.hadoop.hbase.regionserver.wal.TestLogRolling,225,yes
hadoop,0.92RC0,org.apache.hadoop.hbase.regionserver.wal.TestLogRolling,111,yes
hadoop,0.92RC0,org.apache.hadoop.hbase.regionserver.Store,962,no
hadoop,0.92RC0,org.apache.hadoop.hbase.zookeeper.ZKUtil,426,yes
hadoop,0.92RC0,org.apache.hadoop.hbase.zookeeper.ZooKeeperNodeTracker,0,yes
hadoop,0.92RC0,org.apache.hadoop.hbase.util.RegionSplitter,458,no
hadoop,0.92RC0,org.apache.hadoop.hbase.regionserver.TestScanWildcardColumnTracker,0,no
hadoop,0.92RC0,org.apache.hadoop.hbase.regionserver.wal.TestLogRolling,108,no
hadoop,0.92RC0,org.apache.hadoop.hbase.rest.protobuf.generated.VersionMessage,275,no
hadoop,0.92RC0,org.apache.hadoop.hbase.regionserver.TestHRegion,2189,no
hadoop,0.92RC0,org.apache.hadoop.hbase.regionserver.wal.HLogPrettyPrinter,88,no
hadoop,0.92RC0,org.apache.hadoop.hbase.master.TestMasterFailover,380,no
hadoop,0.92RC0,org.apache.hadoop.hbase.util.Bytes,763,no
hadoop,0.92RC0,org.apache.hadoop.hbase.client.HTablePool,179,no
hadoop,0.92RC0,org.apache.hadoop.hbase.ipc.HBaseClient,542,no
hadoop,0.92RC0,org.apache.hadoop.hbase.ipc.HBaseClient,543,no
hadoop,0.92RC0,org.apache.hadoop.hbase.mapreduce.TableOutputFormat,0,yes
hadoop,0.92RC0,org.apache.hadoop.hbase.regionserver.CompactSplitThread,18,no
hadoop,0.92RC0,org.apache.hadoop.hbase.regionserver.wal.HLogPrettyPrinter,87,no
hadoop,0.92RC0,org.apache.hadoop.hbase.regionserver.wal.TestLogRolling,71,no
hadoop,0.92RC0,org.apache.hadoop.hbase.master.HMasterCommandLine,0,no
hadoop,0.92RC0,org.apache.hadoop.hbase.ServerName,0,no
hadoop,0.92RC0,org.apache.hadoop.hbase.regionserver.wal.TestHLog,398,no
hadoop,0.92RC0,org.apache.hadoop.hbase.client.HTable,803,no
hadoop,0.92RC0,org.apache.hadoop.hbase.regionserver.HRegionServer,1986,no
hadoop,0.92RC0,org.apache.hadoop.hbase.client.TestAdmin,527,no
hadoop,0.92RC0,org.apache.hadoop.hbase.coprocessor.TestCoprocessorInterface,52,no
hadoop,0.92RC0,org.apache.hadoop.hbase.regionserver.TestWideScanner,0,no
